"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515"
"26",116,"比较同意","无所谓","完全同意","无所谓","比较同意","比较同意","比较同意","比较不同意","比较同意","完全不同意","比较同意","比较不同意","完全同意","比较同意","比较同意"
"27",120,"比较同意","完全不同意","比较同意","比较同意","比较同意","完全不同意","比较同意","完全不同意","比较同意","完全不同意","比较同意","比较同意","完全不同意","完全不同意","比较同意"
"28",123,"无所谓","无所谓","比较同意","无所谓","完全同意","无所谓","比较不同意","无所谓","比较同意","无所谓","比较不同意","无所谓","无所谓","无所谓","无所谓"
"29",129,"无法选择","比较同意","比较同意","比较同意","比较同意","比较同意","无法选择","完全不同意","比较同意","比较不同意","无法选择","比较不同意","无所谓","无法选择","比较同意"
"30",134,"无所谓","比较不同意","无所谓","无所谓","比较不同意","比较同意","无所谓","无所谓","比较不同意","无所谓","无所谓","完全不同意","比较同意","无所谓","比较不同意"
"31",142,"比较同意","比较不同意","比较同意","比较同意","无所谓","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","无所谓","比较不同意","比较同意"
"32",143,"无所谓","比较不同意","比较同意","比较不同意","无所谓","比较同意","无所谓","无所谓","比较同意","比较不同意","比较不同意","比较不同意","无所谓","无所谓","无所谓"
"33",148,"比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","完全同意","完全不同意","完全同意","比较不同意","完全同意","完全不同意","比较同意","比较不同意","比较同意"
"34",150,"比较同意","完全同意","完全同意","比较同意","比较同意","比较不同意","比较同意","无法选择","比较同意","无法选择","无法选择","无法选择","比较同意","比较同意","无法选择"
"35",153,"比较不同意","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意"
"36",157,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意"
"37",159,"无所谓","比较同意","比较同意","比较同意","完全同意","比较同意","无所谓","比较同意","比较不同意","完全同意","比较不同意","比较同意","无所谓","比较同意","完全不同意"
"38",161,"无法选择","比较不同意","比较同意","比较同意","比较同意","无法选择","比较同意","无法选择","完全同意","无法选择","比较同意","比较不同意","比较同意","无法选择","无所谓"
"39",162,"比较同意","无所谓","比较同意","无所谓","比较同意","比较不同意","比较不同意","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较同意","无所谓","无所谓"
"40",167,"无所谓","无所谓","比较同意","完全同意","比较不同意","比较同意","比较同意","完全同意","无法选择","比较不同意","无所谓","无所谓","比较同意","比较同意","完全同意"
"41",169,"比较同意","无所谓","比较同意","比较不同意","无所谓","比较不同意","比较不同意","无所谓","无所谓","比较同意","完全同意","比较同意","无所谓","比较不同意","比较不同意"
"42",173,"无法选择","比较同意","比较同意","比较不同意","完全同意","比较不同意","比较不同意","比较不同意","比较不同意","比较同意","无所谓","无法选择","完全同意","比较同意","比较不同意"
"43",185,"比较同意","无所谓","比较同意","完全同意","比较同意","比较同意","比较同意","完全同意","无所谓","无所谓","比较同意","无法选择","无法选择","比较不同意","无所谓"
"44",199,"比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","完全不同意","比较不同意","完全同意","比较同意","完全同意","完全同意","比较不同意","比较同意","完全同意"
"45",205,"比较同意","比较不同意","比较同意","比较同意","比较不同意","完全不同意","比较同意","完全不同意","比较同意","比较不同意","完全同意","比较不同意","比较不同意","比较不同意","比较不同意"
"46",206,"比较同意","比较同意","完全同意","比较同意","比较同意","无法选择","比较不同意","比较不同意","比较同意","比较不同意","无法选择","比较不同意","比较同意","完全同意","比较同意"
"47",207,"比较不同意","无所谓","比较同意","无所谓","完全同意","比较同意","完全同意","比较不同意","比较同意","比较同意","完全同意","比较同意","比较同意","比较同意","比较同意"
"48",209,"比较不同意","无所谓","比较同意","无所谓","无所谓","比较同意","比较同意","无法选择","完全同意","完全同意","比较同意","比较同意","无法选择","无法选择","比较不同意"
"49",213,"比较不同意","比较不同意","完全同意","完全同意","比较同意","比较同意","无所谓","比较不同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意"
"50",221,"比较不同意","比较同意","比较同意","比较同意","比较同意","比较不同意","无所谓","比较不同意","比较同意","比较不同意","比较不同意","比较同意","比较不同意","比较同意","比较同意"
"51",225,"完全同意","比较同意","比较同意","比较同意","无法选择","完全同意","完全同意","比较不同意","比较同意","无法选择","比较不同意","比较同意","比较同意","比较同意","比较不同意"
"52",228,"完全同意","无所谓","比较不同意","比较不同意","比较同意","无所谓","无法选择","无法选择","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意"
"53",238,"完全同意","比较同意","无所谓","无所谓","完全同意","完全同意","完全不同意","无所谓","比较同意","无所谓","无所谓","完全同意","完全同意","无法选择","完全同意"
"54",243,"无法选择","无所谓","比较同意","无所谓","无所谓","比较不同意","无所谓","无所谓","比较同意","无法选择","无法选择","无法选择","比较同意","无所谓","无所谓"
"55",255,"比较同意","比较同意","比较不同意","完全同意","完全同意","完全不同意","完全同意","完全不同意","完全不同意","无法选择","无法选择","完全同意","完全不同意","完全不同意","完全不同意"
"56",274,"无所谓","比较同意","比较不同意","比较同意","完全同意","比较同意","完全不同意","比较同意","完全同意","比较同意","完全同意","无所谓","无所谓","比较同意","完全同意"
"57",291,"完全同意","无所谓","完全同意","比较同意","完全同意","完全同意","比较同意","完全不同意","比较同意","完全不同意","完全同意","完全不同意","比较同意","无所谓","完全同意"
"58",293,"比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意"
"59",295,"比较同意","完全不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较同意"
"60",297,"完全同意","比较同意","比较同意","比较同意","比较同意","比较同意","完全同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意"
"61",305,"完全同意","完全不同意","完全同意","比较同意","比较同意","比较同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意"
"62",310,"完全同意","完全不同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","无所谓","完全不同意","完全同意","比较不同意","完全同意"
"63",311,"比较不同意","比较同意","完全同意","比较同意","比较同意","比较同意","完全同意","比较不同意","比较同意","完全同意","无所谓","比较同意","比较同意","比较不同意","完全同意"
"64",312,"无所谓","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","无所谓","完全同意","无所谓","完全同意","完全不同意","比较同意","比较不同意","比较同意"
"65",316,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","完全不同意","比较同意","完全不同意","比较同意","比较不同意","完全同意","比较不同意","完全同意"
"66",318,"比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","比较不同意","比较同意","比较同意","比较不同意"
"67",322,"完全同意","比较不同意","完全同意","完全不同意","完全同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","比较同意","比较同意"
"68",326,"无法选择","完全同意","完全同意","比较同意","比较同意","完全不同意","完全同意","无法选择","比较同意","比较不同意","完全同意","完全不同意","完全不同意","比较不同意","比较同意"
"69",327,"完全同意","比较不同意","完全同意","完全同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","比较不同意","完全同意","比较不同意","完全同意","完全同意","完全同意"
"70",330,"比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","无所谓","无所谓","无所谓","无所谓","无所谓","比较同意","比较同意"
"71",334,"比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意"
"72",340,"完全同意","完全同意","完全同意","无法选择","完全同意","比较不同意","比较同意","完全不同意","完全同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意"
"73",344,"无法选择","比较不同意","完全同意","完全同意","比较同意","比较不同意","比较同意","完全不同意","完全不同意","完全不同意","比较同意","比较不同意","完全同意","完全不同意","完全同意"
"74",353,"比较不同意","完全不同意","完全同意","比较同意","比较同意","比较同意","比较同意","比较不同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意"
"75",354,"比较同意","完全不同意","完全同意","比较同意","完全同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","比较同意","比较同意"
"76",355,"完全同意","完全不同意","完全同意","比较同意","完全同意","比较不同意","完全同意","无所谓","比较同意","比较不同意","完全同意","比较不同意","比较同意","无所谓","完全同意"
"77",364,"比较同意","无所谓","无所谓","比较不同意","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","无所谓","比较同意","比较同意","完全同意"
"78",365,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","完全同意","完全不同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","比较同意","完全同意"
"79",368,"无所谓","完全同意","比较同意","完全同意","比较同意","无所谓","完全同意","比较不同意","无所谓","无所谓","无所谓","无所谓","比较同意","完全同意","比较同意"
"80",370,"完全同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较同意","完全同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意"
"81",371,"比较同意","完全不同意","比较同意","完全同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","比较不同意","完全不同意","比较同意","比较不同意","比较同意"
"82",372,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较同意","比较同意"
"83",373,"比较不同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","完全同意","比较不同意","比较同意","比较不同意","比较不同意","比较不同意","比较同意","比较不同意","比较同意"
"84",376,"无所谓","完全不同意","比较同意","比较同意","完全同意","完全同意","完全同意","完全不同意","完全同意","比较不同意","比较同意","比较同意","完全同意","完全同意","完全同意"
"85",379,"比较同意","比较不同意","比较同意","比较同意","无所谓","比较不同意","比较同意","完全不同意","比较同意","无所谓","比较同意","比较不同意","比较同意","比较不同意","比较同意"
"86",381,"完全同意","比较不同意","完全同意","比较同意","完全同意","无所谓","完全同意","完全不同意","比较同意","完全不同意","无所谓","比较不同意","比较同意","无所谓","完全同意"
"87",382,"比较同意","比较不同意","比较同意","完全同意","比较同意","比较同意","完全同意","比较不同意","完全同意","完全不同意","比较同意","完全不同意","比较同意","比较同意","比较同意"
"88",383,"完全同意","完全同意","完全同意","完全同意","无法选择","完全同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较同意","无法选择","无法选择","完全同意"
"89",385,"完全同意","完全同意","完全同意","完全同意","完全同意","完全不同意","完全同意","完全不同意","完全不同意","完全不同意","完全不同意","完全不同意","完全同意","完全不同意","完全不同意"
"90",386,"比较同意","比较不同意","比较同意","无所谓","无所谓","比较同意","比较不同意","无所谓","比较同意","无所谓","无所谓","比较不同意","比较不同意","比较同意","无所谓"
"91",397,"比较不同意","完全同意","比较不同意","比较同意","比较不同意","比较同意","完全同意","比较同意","比较同意","完全不同意","完全不同意","比较不同意","比较不同意","比较不同意","比较不同意"
"92",403,"无所谓","比较不同意","比较同意","无所谓","比较同意","比较不同意","比较同意","比较不同意","无法选择","无所谓","比较同意","无法选择","比较同意","比较不同意","无法选择"
"93",409,"比较不同意","比较同意","比较不同意","比较同意","比较同意","比较不同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较不同意","比较不同意","比较同意"
"94",413,"比较同意","无所谓","比较同意","比较同意","无所谓","比较不同意","比较同意","无所谓","比较同意","比较不同意","完全同意","无所谓","比较同意","比较同意","比较同意"
"95",415,"无所谓","比较同意","比较同意","比较同意","比较同意","无所谓","无所谓","无所谓","比较同意","比较同意","无所谓","无所谓","无所谓","比较同意","无所谓"
"96",416,"比较同意","完全不同意","比较同意","比较不同意","比较同意","无法选择","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","无法选择","比较同意"
"97",421,"比较同意","比较不同意","比较同意","无所谓","比较同意","完全不同意","完全不同意","完全不同意","完全同意","完全同意","比较同意","完全不同意","比较同意","无所谓","比较不同意"
"98",423,"无法选择","比较不同意","比较同意","比较同意","比较同意","无所谓","比较同意","比较不同意","完全同意","比较不同意","比较同意","无所谓","无所谓","比较不同意","比较同意"
"99",425,"无法选择","比较不同意","完全同意","完全同意","完全同意","完全同意","完全同意","无法选择","完全同意","比较不同意","无法选择","完全不同意","完全不同意","完全不同意","比较不同意"
"100",427,"无法选择","比较不同意","无所谓","比较同意","比较同意","完全同意","比较同意","比较不同意","比较同意","比较不同意","完全同意","比较不同意","比较同意","比较同意","比较同意"
"101",429,"无所谓","比较同意","完全同意","比较同意","完全同意","比较不同意","无所谓","完全不同意","无所谓","完全不同意","完全同意","无所谓","完全同意","比较同意","完全同意"
"102",431,"比较不同意","比较不同意","比较同意","无所谓","完全同意","比较不同意","完全同意","比较不同意","完全同意","比较不同意","完全同意","比较不同意","完全同意","完全同意","完全同意"
"103",436,"比较同意","比较同意","比较同意","比较同意","比较不同意","无所谓","无所谓","比较同意","比较同意","比较同意","无所谓","无所谓","无所谓","比较不同意","比较同意"
"104",438,"完全同意","完全不同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全同意","完全同意"
"105",439,"无所谓","无所谓","无所谓","无所谓","无所谓","比较同意","无所谓","比较同意","无所谓","无所谓","无所谓","无所谓","比较不同意","无所谓","无所谓"
"106",442,"无法选择","完全不同意","无所谓","无所谓","无所谓","无所谓","无所谓","比较同意","无所谓","比较不同意","无所谓","比较不同意","无所谓","比较同意","无所谓"
"107",445,"比较同意","完全不同意","比较同意","无所谓","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","完全不同意","完全同意","无所谓","比较同意"
"108",446,"完全同意","完全同意","比较同意","完全同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","完全不同意","比较不同意","比较同意","比较同意","比较同意","比较同意"
"109",447,"比较同意","比较不同意","比较同意","无所谓","比较同意","比较不同意","完全同意","完全不同意","比较同意","完全不同意","比较同意","比较不同意","比较同意","无所谓","比较同意"
"110",449,"无所谓","无所谓","比较不同意","无所谓","无所谓","无所谓","比较同意","无所谓","比较不同意","无所谓","无所谓","比较同意","无所谓","完全不同意","无所谓"
"111",455,"比较同意","完全不同意","完全同意","比较不同意","比较同意","完全不同意","完全同意","完全同意","完全同意","完全不同意","完全同意","完全不同意","完全不同意","完全不同意","比较同意"
"112",456,"比较同意","比较同意","完全同意","比较同意","比较同意","无所谓","比较同意","比较不同意","比较同意","比较不同意","无所谓","比较同意","比较同意","比较不同意","比较同意"
"113",462,"比较同意","无所谓","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较同意","比较同意","比较同意"
"114",463,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","完全同意","完全不同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","比较不同意","比较同意"
"115",464,"完全同意","完全不同意","完全同意","完全同意","完全同意","比较同意","完全同意","比较同意","完全同意","完全不同意","完全同意","完全同意","完全同意","比较同意","比较同意"
"116",467,"比较同意","比较不同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全同意","完全同意"
"117",471,"完全同意","无所谓","完全同意","完全同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全同意","比较同意","无法选择","完全同意"
"118",473,"完全同意","比较不同意","完全同意","比较同意","完全同意","比较同意","完全同意","比较同意","比较同意","比较不同意","完全同意","比较不同意","比较同意","比较同意","完全同意"
"119",474,"完全同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","完全同意","完全不同意","比较同意","比较不同意","完全同意","完全同意","完全同意"
"120",477,"完全同意","比较不同意","完全同意","比较不同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全同意","比较同意","完全同意","完全同意","比较同意","比较同意"
"121",480,"比较同意","无法选择","完全同意","无法选择","完全同意","比较不同意","完全同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","完全同意","无所谓","完全同意"
"122",482,"完全同意","比较不同意","完全同意","比较同意","完全同意","比较不同意","完全同意","比较同意","无法选择","比较不同意","完全同意","完全同意","完全同意","无法选择","完全同意"
"123",496,"完全同意","比较同意","比较同意","完全同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意"
"124",500,"比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","完全同意","比较同意","比较同意","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意"
"125",501,"比较不同意","比较同意","比较同意","完全同意","比较同意","比较同意","比较同意","比较不同意","比较不同意","无法选择","比较不同意","比较不同意","比较同意","比较不同意","比较同意"
"126",502,"无法选择","拒绝回答","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓","无所谓","无所谓","无所谓","比较不同意","无所谓","无所谓","无所谓"
"127",506,"完全同意","完全不同意","比较同意","比较不同意","完全同意","比较不同意","完全同意","比较不同意","完全同意","无所谓","无所谓","比较同意","无所谓","比较同意","无法选择"
"128",508,"无所谓","无所谓","比较同意","比较不同意","完全同意","无所谓","完全同意","无所谓","无所谓","比较不同意","无所谓","比较不同意","比较同意","无所谓","无所谓"
"129",509,"无所谓","比较不同意","比较同意","无所谓","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","比较不同意"
"130",514,"比较同意","比较同意","比较同意","比较不同意","完全同意","完全不同意","比较同意","完全不同意","完全同意","完全不同意","无法选择","比较同意","完全同意","比较同意","比较同意"
"131",517,"完全同意","完全同意","无所谓","比较同意","比较不同意","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意"
"132",523,"无法选择","完全同意","完全同意","比较同意","完全同意","完全同意","完全同意","比较不同意","比较同意","比较不同意","无所谓","无所谓","无所谓","比较同意","比较同意"
"133",524,"无法选择","比较同意","比较同意","比较同意","比较不同意","完全不同意","比较同意","完全不同意","完全同意","比较不同意","无法选择","无法选择","比较同意","比较同意","比较同意"
"134",532,"完全不同意","比较同意","比较同意","比较同意","完全同意","比较同意","比较不同意","比较不同意","无法选择","比较不同意","无法选择","完全同意","无法选择","比较同意","比较同意"
"135",533,"比较同意","比较不同意","比较同意","比较不同意","比较不同意","比较不同意","完全同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","完全同意","比较不同意","无所谓"
"136",534,"比较同意","比较不同意","比较同意","比较不同意","比较同意","无法选择","比较同意","比较不同意","无所谓","无所谓","无法选择","无所谓","无所谓","无所谓","无所谓"
"137",535,"比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","完全不同意","比较不同意","比较同意","比较不同意","比较不同意","比较同意","比较同意","比较同意","比较同意"
"138",536,"无法选择","比较不同意","比较同意","比较同意","比较同意","无法选择","比较同意","无所谓","比较不同意","无所谓","无法选择","比较不同意","比较同意","比较不同意","无法选择"
"139",540,"比较同意","完全不同意","比较同意","比较同意","比较同意","比较同意","完全同意","完全不同意","比较同意","完全不同意","完全同意","完全不同意","完全同意","比较不同意","完全同意"
"140",543,"比较同意","比较不同意","完全同意","无所谓","完全同意","比较不同意","完全同意","无所谓","完全同意","无法选择","完全同意","完全不同意","比较同意","无所谓","比较同意"
"141",544,"比较同意","比较同意","比较同意","无所谓","完全同意","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓","完全同意"
"142",545,"无所谓","比较不同意","比较同意","无所谓","比较同意","完全不同意","完全同意","无所谓","完全同意","完全同意","完全同意","比较不同意","无所谓","无所谓","完全不同意"
"143",548,"比较同意","完全同意","无所谓","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较不同意","无所谓","完全同意","比较同意","比较同意","比较同意","无所谓"
"144",550,"比较不同意","比较不同意","无所谓","比较同意","比较不同意","比较同意","无所谓","比较同意","比较同意","无所谓","比较同意","比较不同意","比较同意","无所谓","比较同意"
"145",555,"无所谓","无所谓","无所谓","比较不同意","完全同意","无所谓","完全同意","无所谓","完全同意","无法选择","无所谓","无所谓","比较同意","无法选择","完全同意"
"146",557,"比较同意","比较不同意","比较同意","无所谓","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较同意","比较不同意","比较同意"
"147",558,"比较同意","无所谓","无所谓","比较同意","完全同意","比较同意","比较同意","无所谓","比较同意","无所谓","完全同意","无所谓","完全同意","无所谓","比较同意"
"148",562,"比较同意","比较同意","比较同意","无所谓","比较同意","比较同意","比较同意","无所谓","比较同意","无所谓","比较同意","完全同意","比较同意","比较同意","完全同意"
"149",567,"完全同意","完全同意","完全不同意","比较不同意","完全同意","完全同意","完全同意","无所谓","完全同意","完全不同意","完全同意","无所谓","完全同意","完全同意","完全同意"
"150",568,"比较不同意","比较不同意","无所谓","比较同意","比较同意","无所谓","比较同意","比较不同意","比较同意","无所谓","比较不同意","比较不同意","比较同意","比较同意","无法选择"
"151",575,"完全同意","比较不同意","完全同意","比较同意","完全同意","比较不同意","完全同意","比较不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","比较不同意","完全同意"
"152",579,"无所谓","完全不同意","完全同意","完全不同意","比较同意","完全不同意","比较同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意"
"153",588,"完全同意","完全不同意","完全同意","比较不同意","完全不同意","比较同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全不同意","完全同意","完全同意","完全同意"
"154",590,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意"
"155",593,"比较同意","比较不同意","比较同意","比较同意","完全同意","完全不同意","完全同意","比较同意","比较同意","比较不同意","完全同意","比较同意","比较同意","比较同意","完全同意"
"156",597,"完全不同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较同意","完全同意","完全不同意","完全不同意","完全不同意","完全同意","完全同意","完全同意"
"157",598,"无所谓","无所谓","比较同意","比较同意","比较同意","无所谓","比较同意","无所谓","比较同意","比较不同意","比较同意","比较同意","比较同意","无所谓","比较同意"
"158",599,"比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较不同意","比较不同意","比较同意","比较同意","比较同意"
"159",602,"无所谓","无所谓","完全同意","比较同意","完全同意","比较同意","完全同意","比较不同意","无所谓","比较同意","比较不同意","比较不同意","完全同意","无所谓","完全同意"
"160",608,"无所谓","完全同意","完全同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","完全同意","比较同意","比较同意","比较同意"
"161",610,"比较同意","完全不同意","完全同意","比较同意","比较不同意","比较不同意","完全同意","无所谓","比较同意","比较不同意","比较同意","比较不同意","完全同意","比较不同意","完全同意"
"162",618,"比较同意","完全同意","完全同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","比较不同意","比较同意","无法选择","比较同意"
