"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515"
"76",355,5,5,5,2,5,4,5,3,4,4,5,4,4,3,5
"77",364,4,3,3,4,3,2,4,2,4,2,3,3,4,2,5
"78",365,4,4,4,2,4,4,5,5,5,4,5,5,5,2,5
"79",368,3,1,4,1,4,3,5,4,3,3,3,3,4,1,4
"80",370,5,5,5,1,5,1,5,2,5,5,5,1,5,1,5
"81",371,4,5,4,1,5,5,5,5,5,5,2,5,4,4,4
"82",372,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4
"83",373,2,4,4,2,4,4,5,4,4,4,2,4,4,4,4
"84",376,3,5,4,2,5,1,5,5,5,4,4,2,5,1,5
"85",379,4,4,4,2,3,4,4,5,4,3,4,4,4,4,4
"86",381,5,4,5,2,5,3,5,5,4,5,3,4,4,3,5
"87",382,4,4,4,1,4,2,5,4,5,5,4,5,4,2,4
"88",383,5,1,5,1,3.91554959785523,1,5,1,5,1,5,2,3.89578250261415,2.77097345132743,5
"89",385,5,1,5,1,5,5,5,5,1,5,1,5,5,5,1
"90",386,4,4,4,3,3,2,2,3,4,3,3,4,2,2,3
"91",397,2,1,2,2,2,2,5,2,4,5,1,4,2,4,2
"92",403,3,4,4,3,4,4,4,4,4.06256481161424,3,4,3.39461883408072,4,4,3.81396981396981
"93",409,2,2,2,2,4,4,2,2,4,2,4,4,2,4,4
"94",413,4,3,4,2,3,4,4,3,4,4,5,3,4,2,4
"95",415,3,2,4,2,4,3,3,3,4,2,3,3,3,2,3
"96",416,4,5,4,4,4,2.92810902896082,4,4,4,4,4,4,4,2.77097345132743,4
"97",421,4,4,4,3,4,5,1,5,5,1,4,5,4,3,2
"98",423,3.71231884057971,4,4,2,4,3,4,4,5,4,4,3,3,4,4
"99",425,3.71231884057971,4,5,1,5,1,5,3.5040500736377,5,4,3.89625668449198,5,1,5,2
"100",427,3.71231884057971,4,3,2,4,1,4,4,4,4,5,4,4,2,4
"101",429,3,2,5,2,5,4,3,5,3,5,5,3,5,2,5
"102",431,2,4,4,3,5,4,5,4,5,4,5,4,5,1,5
"103",436,4,2,4,2,2,3,3,2,4,2,3,3,3,4,4
"104",438,5,5,5,1,5,4,5,5,5,5,5,5,5,1,5
"105",439,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3
"106",442,3.71231884057971,5,3,3,3,3,3,2,3,4,3,4,3,2,3
"107",445,4,5,4,3,4,2,4,4,4,4,2,5,5,3,4
"108",446,5,1,4,1,4,4,4,4,2,5,2,2,4,2,4
"109",447,4,4,4,3,4,4,5,5,4,5,4,4,4,3,4
"110",449,3,3,2,3,3,3,4,3,2,3,3,2,3,5,3
"111",455,4,5,5,4,4,5,5,1,5,5,5,5,1,5,4
"112",456,4,2,5,2,4,3,4,4,4,4,3,2,4,4,4
"113",462,4,3,4,2,4,4,4,4,4,4,4,3,4,2,4
"114",463,4,4,4,2,4,2,5,5,5,4,5,5,5,4,4
"115",464,5,5,5,1,5,2,5,2,5,5,5,1,5,2,4
"116",467,4,4,5,1,5,1,5,4,5,5,5,5,5,1,5
"117",471,5,3,5,1,5,1,5,1,5,4,5,1,4,2.77097345132743,5
"118",473,5,4,5,2,5,2,5,2,4,4,5,4,4,2,5
"119",474,5,4,4,2,4,2,4,4,5,5,4,4,5,1,5
"120",477,5,4,5,4,5,1,5,4,5,1,4,1,5,2,4
"121",480,4,3.22091062394604,5,2.32650273224044,5,4,5,2,4,4,4,4,5,3,5
"122",482,5,4,5,2,5,4,5,2,4.06256481161424,4,5,1,5,2.77097345132743,5
"123",496,5,2,4,1,5,1,5,4,5,5,5,1,5,1,5
"124",500,4,2,4,2,2,2,5,2,4,3,4,2,4,2,4
"125",501,2,2,4,1,4,2,4,4,2,3.4861646234676,2,4,4,4,4
"126",502,3.71231884057971,3.22091062394604,4,3,4,3,4,3,3,3,3,4,3,3,3
"127",506,5,5,4,4,5,4,5,4,5,3,3,2,3,2,3.81396981396981
"128",508,3,3,4,4,5,3,5,3,3,4,3,4,4,3,3
"129",509,3,4,4,3,2,2,4,2,4,2,2,2,2,4,2
"130",514,4,2,4,4,5,5,4,5,5,5,3.89625668449198,2,5,2,4
"131",517,5,1,3,2,2,3,4,2,4,2,4,2,4,2,4
"132",523,3.71231884057971,1,5,2,5,1,5,4,4,4,3,3,3,2,4
"133",524,3.71231884057971,2,4,2,2,5,4,5,5,4,3.89625668449198,3.39461883408072,4,2,4
"134",532,1,2,4,2,5,2,2,4,4.06256481161424,4,3.89625668449198,1,3.89578250261415,2,4
"135",533,4,4,4,4,2,4,5,4,4,4,4,4,5,4,3
"136",534,4,4,4,4,4,2.92810902896082,4,4,3,3,3.89625668449198,3,3,3,3
"137",535,4,2,4,2,4,4,1,4,4,4,2,2,4,2,4
"138",536,3.71231884057971,4,4,2,4,2.92810902896082,4,3,2,3,3.89625668449198,4,4,4,3.81396981396981
"139",540,4,5,4,2,4,2,5,5,4,5,5,5,5,4,5
"140",543,4,4,5,3,5,4,5,3,5,3.4861646234676,5,5,4,3,4
"141",544,4,2,4,3,5,4,4,4,4,3,4,3,4,3,5
"142",545,3,4,4,3,4,5,5,3,5,1,5,4,3,3,1
"143",548,4,1,3,2,4,4,4,4,2,3,5,2,4,2,3
"144",550,2,4,3,2,2,2,3,2,4,3,4,4,4,3,4
"145",555,3,3,3,4,5,3,5,3,5,3.4861646234676,3,3,4,2.77097345132743,5
"146",557,4,4,4,3,4,2,4,4,4,4,4,3,4,4,4
"147",558,4,3,3,2,5,2,4,3,4,3,5,3,5,3,4
"148",562,4,2,4,3,4,2,4,3,4,3,4,1,4,2,5
"149",567,5,1,1,4,5,1,5,3,5,5,5,3,5,1,5
"150",568,2,4,3,2,4,3,4,4,4,3,2,4,4,2,3.81396981396981
"151",575,5,4,5,2,5,4,5,4,5,5,5,5,5,4,5
"152",579,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5
"153",588,5,5,5,4,1,2,5,5,5,5,5,5,5,1,5
"154",590,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4
"155",593,4,4,4,2,5,5,5,2,4,4,5,2,4,2,5
"156",597,1,5,5,1,5,1,5,2,5,5,1,5,5,1,5
"157",598,3,3,4,2,4,3,4,3,4,4,4,2,4,3,4
"158",599,4,4,4,2,4,4,4,2,4,4,2,4,4,2,4
"159",602,3,3,5,2,5,2,5,4,3,2,2,4,5,3,5
"160",608,3,1,5,2,4,2,4,2,4,4,4,1,4,2,4
"161",610,4,5,5,2,2,4,5,3,4,4,4,4,5,4,5
"162",618,4,1,5,2,4,2,4,4,4,4,4,4,4,2.77097345132743,4
"163",620,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3
"164",622,5,2,5,2,4,4,4,5,5,4,3.89625668449198,3.39461883408072,5,4,5
"165",626,2,4,5,1,5,1,5,3,5,4,3,3,5,1,5
"166",627,4,3,3,2,5,2,4,4,4,3,3.89625668449198,4,3.89578250261415,4,4
"167",632,5,2,4,3,4,2,4,1,2,2,4,3,3,2,4
"168",634,5,2,2,2.32650273224044,4,1,4,4,4,3,5,4,3.89578250261415,5,4
"169",638,2,5,5,2,4,4,4,4,4,4,4,4,4,4,4
"170",640,4,2,4,2,4,3,5,5,5,5,1,5,5,1,5
"171",642,4,2,4,2,4,2,4,4,4,4,4,4,4,2,4
"172",644,4,2,4,2,4,2,4,4,4,4,4,4,4,2,4
"173",646,5,4,4,2,4,3,4,4,4,3,5,4,2,2,4
"174",647,4,5,4,2,3,4,5,4,3,4,2,2,4,2,4
"175",649,4,2,4,2,4,4,4,4,4,2,4,4,4,2,4
"176",650,4,4,5,3,5,5,5,5,5,4,5,4,5,3,5
"177",652,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4
"178",655,5,5,5,2,4,4,5,5,5,4,5,5,4,3,5
"179",657,4,5,4,1,5,4,4,5,5,4,4,4,5,1,5
"180",660,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
"181",666,2,4,4,2,4,5,5,2,4,4,5,4,4,2,2
"182",670,4,4,4,2,2,4,4,4,4,2,3.89625668449198,4,4,4,2
"183",681,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"184",686,2,1,2,2,1,2,4,2,4,4,4,4,4,2,2
"185",688,4,1,2,1,2,2,4,2,4,2,2,4,5,2,5
"186",690,4,4,4,2,4,2,4,3,3,3,3,3,3,1,3
"187",692,1,5,5,5,5,1,5,3,5,4,1,5,5,1,2
"188",698,4,5,5,3,4,4,5,5,5,3,4,5,4,4,4
"189",702,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5
"190",703,3,2,4,2,4,2,4,4,4,3,5,4,5,5,5
"191",708,4,3,4,2,4,2.92810902896082,5,4,4,4,4,3.39461883408072,4,2.77097345132743,3.81396981396981
"192",714,4,4,5,4,4,3,4,5,5,4,4,3,4,2,4
"193",716,4,5,5,1,3,3,5,5,4.06256481161424,5,5,5,5,2,5
"194",717,5,4,5,2.32650273224044,5,2,4,4,4,3,3.89625668449198,3,4,1,5
"195",722,5,4,3,2,4,2,4,4,4,4,3.89625668449198,3.39461883408072,4,2,3
"196",723,4,4,5,4,4,3,3,4,4,4,4,3,4,3,4
"197",724,5,2,5,2,5,2,5,3.5040500736377,4.06256481161424,3.4861646234676,3.89625668449198,1,5,2.77097345132743,5
"198",726,4,3,4,2,5,2,5,4,5,4,5,4,5,1,5
"199",727,3,5,5,5,5,5,5,5,5,5,5,5,4,4,5
"200",728,4,5,4,2,4,4,4,4,4,4,4,4,4,2,4
"201",736,5,1,5,1,5,2,4,5,5,5,5,4,2,1,5
"202",737,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4
"203",738,3,3,4,2,3,4,4,3,3,4,3,4,4,3,2
"204",741,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4
"205",742,4,2,3,3,3,4,4,3.5040500736377,4.06256481161424,3,3,3,4,2,2
"206",743,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4
"207",744,2,4,4,2,4,2,2,2,4,2,4,2,4,2,4
"208",749,2,2,4,2,4,2,4,2,4,4,4,2,4,2,4
"209",751,4,4,5,4,4,5,5,5,5,4,5,5,2,3,5
"210",753,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4
"211",760,4,5,5,2,4,2,4,4,4,4,1,2,5,4,5
"212",761,3,3,4,2,2,3,4,4,4,4,3,3,4,3,4
"213",764,2,4,4,4,5,4,5,4,5,2,5,4,5,1,5
"214",765,5,2,4,2,4,4,4,4,4,4,4,5,1,4,5
"215",766,3.71231884057971,4,1,5,5,4,5,3.5040500736377,5,3.4861646234676,3.89625668449198,5,5,2,5
"216",769,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5
"217",770,2,4,4,1,5,1,5,3.5040500736377,4.06256481161424,4,5,3.39461883408072,3.89578250261415,2.77097345132743,5
"218",771,4,5,4,2,4,2,4,4,4,5,4,4,4,2,5
"219",772,4,3.22091062394604,4.01468624833111,2,3,3,4,3,3,3,3.89625668449198,3,4,2,3.81396981396981
"220",777,4,4,4,2,4,4,4,4,4,4,4,4,2,3,4
"221",782,5,5,5,1,5,5,5,5,5,3,5,5,5,5,5
"222",792,5,4,5,4,5,4,5,4,5,4,5,2,4,2,4
"223",793,4,4,4,2.32650273224044,4,4,5,1,5,4,5,3,5,3,5
"224",794,3.71231884057971,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"225",802,2,1,4,1,1,2,4.14543630892678,5,5,2,3,4,4,1,4
"226",803,2,5,5,3,4,2,4,4,5,5,3,5,3,1,5
"227",804,4,4,3,3,3,4,4,4,4,3,5,4,5,2,4
"228",805,4,5,5,3,3,4,5,5,4,5,5,5,5,5,5
"229",810,3.71231884057971,2,4,2,4,2,5,2,5,5,5,5,5,4,5
"230",812,4,5,5,3,5,4,2,3,2,2,2,5,2,3,3
"231",816,3,2,4,3,4,3,4,3,3,3,3,3,3,3,4
"232",818,4,4,5,2,4,4,4,5,4,4,4,4,4,2,4
"233",819,4,4,3,5,5,5,4,4,4,5,5,4,3.89578250261415,4,2
"234",824,4,4,4,4,4,4,4,4,5,4,5,4,2,5,4
"235",825,4,2,4,2,4,2,4,3,4,3,3,2,3,3,4
"236",832,3,2,4,2,4,3,4,2,4.06256481161424,1,3.89625668449198,2,3,2.77097345132743,3.81396981396981
"237",836,4,4,4,2,4,1,4,2,4,2,2,4,4,4,4
"238",842,2,4,4,2,4,4,4,4,4,4,2,4,4,2,4
"239",845,4,4,3,3,3.91554959785523,3,2,2,3,3.4861646234676,2,4,3,2.77097345132743,3.81396981396981
"240",849,5,2,4,2,5,2,4,2,4,3,3.89625668449198,3.39461883408072,3.89578250261415,2.77097345132743,3.81396981396981
"241",850,4,5,4,2,1,2,4,5,5,5,1,4,3.89578250261415,2,5
"242",851,3,4,3,4,4,3,4,4,3,4,4,2,4,2,3
"243",857,3,3,3,3,4,3,4,3,3,3,3,3,3,2,4
"244",858,3,3,3,3,3,2.92810902896082,4.14543630892678,3.5040500736377,4.06256481161424,3,3,3,3,3,3.81396981396981
"245",861,4,5,5,2,4,5,4,5,5,4,4,5,4,4,5
"246",863,4,2,4,2,4,2,4,5,4,2,4,2,4,2,4
"247",868,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3
"248",872,4,3,3,2,4,3,4,3,4,3,4,3,4,3,4
"249",875,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"250",889,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4
"251",893,5,3,5,3,5,1,5,1,5,3,3,3,5,4,3
"252",894,1,5,5,2,4,1,5,5,5,5,5,5,4,4,4
"253",899,3,4,4,3,4,2,4,3,4,4,4,4,4,3,3
"254",900,3,5,5,1,4,3,4,3,5,3,4,3,4,2,4
"255",902,3,4,3,3,4,3,3,4,4,5,3,4,4,4,3
"256",904,3,3,3,3,4,4,4,2,4,4,2,4,4,3,3
"257",909,2,5,5,1,5,4,5,5,3,1,3,3,5,5,3
"258",912,2,4,3,2,3,2,5,2,4,3,4,2,3,3,1
"259",913,4,2,4,2,4,2,4,2,4,4,4,4,4,2,4
"260",919,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3
"261",922,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4
"262",924,5,4,2,1,5,1,5,3,5,3,3,3,3,3,3
"263",927,4,4,5,1,5,4,5,4,5,4,5,1,5,1,5
"264",928,3.71231884057971,2,4,2,5,2.92810902896082,3,3.5040500736377,5,3,5,3,4,2.77097345132743,3
"265",930,3,3,3,3,2,2,4.14543630892678,3,3,3,3,3,3.89578250261415,3,3.81396981396981
"266",932,3,3,3,3,4,2,5,3,5,3,3,2,4,2,4
"267",934,3,4,4,4,2,4,4,4,4,4,3,3,4,4,3
"268",936,2,3,4,3,2,2,3,3,5,2,4,3,3,2,2
"269",939,5,2,4,1,5,2,5,2,5,2,4,3,5,1,5
"270",952,4,1,4,3,4,2,4,3,4,2,4,2,4,4,4
"271",956,5,1,5,1,5,1,5,5,5,5,5,1,5,1,5
"272",958,5,1,5,1,3.91554959785523,2.92810902896082,4,3.5040500736377,5,4,4,2,5,1,3.81396981396981
"273",962,5,2,5,2,4,2,5,3.5040500736377,5,4,5,4,2,4,4
"274",966,1,1,4,1,5,1,5,1,5,3,1,1,3.89578250261415,1,5
"275",969,4,4,4,2,2,2,4,2,4,4,4,4,2,5,2
"276",973,3.71231884057971,5,4.01468624833111,5,1,1,5,1,5,5,3.89625668449198,1,1,5,3.81396981396981
"277",979,3,2,2,1,2,4,5,2,4,2,5,4,2,1,2
"278",988,4,2,4,2,5,5,5,5,4,4,4,2,2,4,2
"279",989,5,1,1,1,1,1,5,3.5040500736377,2,3.4861646234676,4,5,1,4,1
"280",990,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"281",991,3.71231884057971,4,4,2,4,4,4,4,5,4,2,5,2,4,2
"282",998,4,3,3,1,5,5,5,5,3,3,4,4,4,3,3
"283",1000,5,4,1,1,4,1,1,3.5040500736377,4,5,2,2,1,1,2
"284",1009,4,3,2,3,4,1,1,3.5040500736377,4,5,2,2,1,1,2
"285",1010,4,5,1,2,1,2,5,5,4,1,5,2,1,1,2
"286",1011,3.71231884057971,5,5,2,1,5,5,5,1,5,5,5,5,5,5
"287",1013,5,1,5,3,5,4,5,2,5,3.4861646234676,3,2,5,4,1
"288",1020,2,4,5,2,5,2,4,4,5,4,5,4,5,1,2
"289",1024,2,3,5,2,5,5,1,4,5,4,5,5,5,2,1
"290",1025,5,1,1,2.32650273224044,1,1,5,5,3,5,5,4,1,5,5
"291",1027,4,2,2,2,4,2,4,2,4,3.4861646234676,4,4,4,1,2
"292",1028,2,4,3,3,2,4,4,4,2,4,4,5,2,4,2
"293",1030,1,5,5,1,5,1,5,5,1,3.4861646234676,3.89625668449198,5,2,2.77097345132743,5
"294",1032,4,5,4,5,4,2,4,5,4,5,4,5,4,2,4
"295",1035,5,1,4,2,4,2,4,2,4,4,4,2,4,2,2
"296",1037,2,4,4,2,3.91554959785523,2,4,3.5040500736377,4,3,2,4,3.89578250261415,2.77097345132743,3
"297",1038,2,3.22091062394604,4,5,4,2,4,4,5,3.4861646234676,3.89625668449198,2,4,5,5
"298",1039,4,4,4,2,4,4,5,5,5,4,4,4,4,2,4
"299",1042,3.71231884057971,2,4,2,4,2,4,4,4,5,2,2,4,2,4
"300",1043,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"301",1045,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"302",1046,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
"303",1047,4,3.22091062394604,4,2,5,4,5,5,5,3,3.89625668449198,4,3.89578250261415,5,5
"304",1048,1,2,4,4,4,2,4,4,5,2,2,1,5,4,4
"305",1049,5,4,4,2,5,4,5,5,5,3,3,4,4,4,4
"306",1050,4,5,4,3,3,2.92810902896082,4,3.5040500736377,4,3.4861646234676,4,4,3.89578250261415,2.77097345132743,4
"307",1055,4,3,3,3,3,3,3,2,3,4,4,3,4,2,3
"308",1056,4,4,4,2,4,2,4,3.5040500736377,4,3.4861646234676,4,2,4,2,4
"309",1058,4,5,4,2.32650273224044,4,2.92810902896082,4,4,5,4,4,5,4,2.77097345132743,4
"310",1059,4,2,4,3,4,2,4,4,3,3,5,4,5,2,5
"311",1060,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"312",1070,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"313",1073,3,3,3,2,4,2,3,3,3,3,4,3,4,4,5
"314",1076,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"315",1082,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"316",1084,4,2,4,2,4,4,5,4,4,2,4,2,4,2,4
"317",1085,4,4,4,2,4,4,4,2,2,2,2,4,4,4,4
"318",1091,3,3,3,2,4,3,3,3,4,3,3,3,4,2,3
"319",1100,4,3,4,4,4,4,1,4,4,2,4,3,2,3,2
"320",1103,4,2,3,2,3.91554959785523,2.92810902896082,4.14543630892678,3.5040500736377,5,2,5,2,3,3,3
"321",1107,4,4,4,3,4,4,5,5,5,5,4,5,2,4,5
"322",1109,4,5,5,2,5,4,5,5,5,4,5,5,5,5,5
"323",1110,3,2,4,2,4,5,4,4,4,4,5,4,5,3,5
"324",1111,5,1,5,2,5,1,5,1,5,1,5,1,4,2,4
"325",1112,5,5,4,1,5,5,5,5,5,2,5,4,4,4,5
"326",1116,5,1,5,1,5,4,3,1,5,4,3,3,2,3,3.81396981396981
"327",1125,4,4,5,2,4,4,5,4,4,4,4,2,4,4,4
"328",1129,3.71231884057971,1,5,1,5,1,5,3,4.06256481161424,5,3.89625668449198,1,5,3,5
"329",1132,4,4,4,3,4,4,1,1,1,2,2,4,5,4,3
"330",1135,4,3,4,4,4,4,1,4,4,2,4,3,2,3,2
"331",1136,4,2,4,2,4,3,5,4,5,4,2,4,5,1,5
"332",1147,5,4,4,1,5,4,5,2,3,4,5,5,4,4,4
"333",1148,3,4,4,2,4,3,4,3,4,2,4,3,4,3,4
"334",1154,3,2,2,4,3,3,4,3,3,3,3,4,4,3,4
"335",1155,3,3,3,3,5,3,4,3,3,3,3,3,3,3,3
"336",1158,3,3,3,3,4,3,4,3,4,3,3,4,3,3,4
"337",1159,4,3,4,2,5,3,5,3,5,3,5,3,5,4,5
"338",1161,3,4,4,4,4,3,5,4,4,3,4,4,4,2,3
"339",1166,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3
"340",1172,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5
"341",1179,2,5,5,1,4,2,4,2,4,4,2,5,4,3,4
"342",1181,5,4,5,4,4,2.92810902896082,4,4,4,4,4,3,4,2.77097345132743,5
"343",1185,2,2,4,1,4,2,4,2,2,4,4,4,5,4,3
"344",1186,3,2,2,2,4,2,4,3.5040500736377,4,4,4,2,3.89578250261415,2.77097345132743,4
"345",1191,2,4,4,2,4,2,4,4,2,4,2,4,4,2,4
"346",1192,4,3,4,2,4,3,4,2,3,4,3,3,4,3,4
"347",1194,4,1,4,2,5,4,4,3,4,4,5,4,4,2,5
"348",1195,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
"349",1198,4,4,4,2,4,4,4,3,4,4,4,3,2,2,5
